구    분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2009-01-01,48935,47096,45407,44410,43962,43850,43286,41182,38382,36642,37369,37624,37388,37321,37219,37333,38118,40942,43237,43521,43568,43900,47059,48874
2009-01-02,46924,44945,43817,43214,43374,44005,44828,45638,47374,49247,50642,50661,47992,48610,48676,48180,48544,50519,51089,49787,48547,47612,49734,51611
2009-01-03,49226,47184,45962,45263,45190,45492,45780,45048,45213,45857,47076,47032,44722,44665,44369,43799,43723,45459,46935,46509,46047,45702,48360,50753
2009-01-04,48351,46344,44947,44279,44216,44363,44059,42270,40534,39943,41029,41269,40482,40783,40625,40651,41045,43757,46020,46411,46162,46039,48826,50030
2009-01-05,47610,45536,44352,43990,44532,45696,47373,49462,53882,57228,58542,58447,54469,56432,57147,56628,56704,57530,57240,55260,53513,52513,54204,55881
2009-01-06,53032,50921,49815,49267,49506,50250,51260,52684,56382,58991,59647,59301,54851,56866,57466,57030,57323,58092,57673,55721,53951,52786,54560,56384
2009-01-07,53481,51082,49831,49274,49516,50210,51376,52726,56376,58804,59337,58915,54421,56311,56681,56078,56236,57149,57257,55666,54095,53123,55004,56581
2009-01-08,53408,51254,50024,49480,49892,50584,51752,52934,56702,59110,59984,59600,54878,56698,57106,56401,56575,57611,58055,56383,54654,53376,55198,56988
2009-01-09,53981,51717,50504,49752,50181,50786,51721,52898,56548,58993,59885,59661,55269,57022,57648,57115,57470,58196,57822,56004,54555,53499,55543,57457
2009-01-10,54724,52677,51491,50749,50637,50807,50967,50205,50684,51603,53127,53433,50726,50905,50780,50078,49541,50234,51472,50842,50207,49868,52572,55131
2009-01-11,52965,51025,49737,49037,48756,48832,48427,46536,44100,42969,44039,44331,43792,44161,44021,44193,44687,46893,49076,49203,49091,49010,51872,53691
2009-01-12,51543,49679,48650,48123,48345,49086,50544,52754,57329,60564,62231,62645,58704,60685,61448,60892,61009,61496,61343,58963,56980,55344,57225,59206
2009-01-13,56376,54411,53370,52609,52393,52874,53905,55222,58884,61457,62269,62223,57897,59623,60274,59768,59832,60331,60441,58533,56680,55253,57020,58900
2009-01-14,56095,53885,52630,51629,51690,52140,53062,54403,58097,60871,62245,62208,58132,59975,60633,59997,60122,60600,60732,58809,57008,55635,57549,59408
2009-01-15,56582,54741,53771,52934,52845,53279,54367,55844,59164,61569,62529,62493,58264,60047,60550,59726,59808,60388,60622,58698,56790,55328,57241,59352
2009-01-16,56482,54241,52903,52092,52030,52334,53219,54353,57911,60470,61805,61837,57624,59169,59556,58835,58800,59106,59127,57359,55703,54315,56402,58269
2009-01-17,55500,53383,52093,51209,50898,51035,50978,50345,51238,52464,53800,53705,50669,50770,50401,49371,48932,49315,50641,50326,49745,49462,52029,53985
2009-01-18,51552,49278,47890,47116,47045,47242,46862,44981,43364,43252,44602,44866,44076,44027,43897,43744,44094,45578,47773,47838,47727,47751,50651,51885
2009-01-19,49152,46837,45556,45234,45788,46958,48569,50808,55541,58506,59680,59279,54982,56845,57351,56781,57050,57790,58600,57064,55242,53913,55553,56835
2009-01-20,53498,50957,49716,49145,49694,50428,51663,52898,56581,59023,59848,59269,54660,56158,56532,55991,56125,56927,57685,56264,54716,53336,55130,56516
2009-01-21,53166,50670,49314,48769,49350,50132,51264,52215,55969,58730,59758,59474,55226,57013,57489,56714,56551,56658,56845,55648,54132,53055,54781,56206
2009-01-22,53088,50563,49323,48867,49238,50003,51158,52420,55826,57917,58567,58086,53641,54895,55065,54313,54378,55115,55963,54651,53442,52358,54372,55766
2009-01-23,52703,50136,48898,48698,49320,50255,51560,52869,56057,58406,59586,59718,56032,57547,57699,56471,55634,55410,56124,54702,53496,52612,54782,56969
2009-01-24,54653,52691,51494,50344,49863,49830,49687,48275,46739,46456,47615,47569,45709,45318,44743,43833,43312,44601,47005,46923,46379,46055,49439,52066
2009-01-25,50320,48597,47309,46040,45151,44585,43778,41828,38830,36790,37403,37590,37442,37168,36837,36495,36563,38020,40282,40323,40135,40507,44283,46725
2009-01-26,45236,43769,42871,42067,41566,41338,41117,39501,35436,31953,31206,30900,30655,30648,30733,30904,31512,33301,36219,36978,37220,38304,42600,45285
2009-01-27,44165,42878,42048,41309,40965,40890,40356,38490,35771,34136,34780,35100,34988,34817,34520,34519,35010,37123,40482,41150,41292,41721,44944,46881
2009-01-28,44946,43054,42035,41573,41769,42272,43058,43887,46180,48316,49715,49827,47366,47592,47380,46945,46981,48025,50059,49377,48126,47139,49130,50578
2009-01-29,47661,45298,43985,43547,43896,44666,45697,47290,51478,54724,56164,56108,52589,54027,54354,53742,53661,54100,54689,53241,51517,50354,52089,53418
2009-01-30,50458,47983,46704,46024,46342,47141,48095,49141,52765,55250,56144,55922,52060,53168,53120,52384,52246,52558,53448,52254,50936,49836,51746,53081
