"Supplementary Table 3 - GHG food system emissions (Mt CO2eq, GWP-100 AR5), including LULUC. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country_code_A3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
ABW,Aruba,0.038,0.043,0.045,0.046,0.048,0.054,0.045,0.058,0.070,0.089,0.084,0.089,0.084,0.084,0.092,0.085,0.084,0.080,0.081,0.083,0.085,0.080,0.125,0.138,0.137,0.138,
AFG,Afghanistan,10.443,10.666,10.806,11.004,11.286,11.795,13.112,14.205,15.025,16.080,14.245,12.518,15.120,15.652,15.778,15.706,15.849,16.264,17.731,18.457,20.652,20.976,20.754,20.949,21.377,20.847,
AGO,Angola,116.006,116.681,117.052,116.336,116.748,117.349,126.075,121.101,133.450,125.711,124.145,102.707,119.226,125.497,139.574,138.653,109.971,131.858,110.218,113.715,116.410,148.244,115.829,129.858,112.491,133.207,
AIA,Anguilla,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.007,0.007,
AIR,Int. Aviation,1.325,1.287,1.330,1.355,1.428,1.484,1.544,1.626,1.683,1.752,1.819,1.779,1.886,1.881,2.030,2.162,2.238,2.305,2.333,2.224,2.340,2.420,2.454,2.506,2.579,2.708,
ALB,Albania,4.398,4.012,3.880,4.092,4.945,4.861,4.570,4.432,4.344,5.024,5.101,4.576,4.684,4.722,4.518,4.335,4.937,5.025,4.437,4.324,4.582,4.699,4.544,4.380,4.790,5.018,
ANT,Netherlands Antilles,0.378,0.385,0.405,0.372,0.394,0.416,0.423,0.450,0.589,0.790,0.741,0.753,0.668,0.635,0.671,0.638,0.608,0.676,0.765,0.740,0.778,0.853,0.947,0.897,0.891,0.903,
ARE,United Arab Emirates,7.209,7.724,8.089,8.686,9.115,9.637,9.925,9.867,9.526,10.053,10.593,11.139,11.606,13.052,13.663,14.608,15.799,15.941,18.019,17.769,18.271,18.774,20.505,22.218,22.933,23.205,
ARG,Argentina,307.817,306.188,309.698,310.102,314.697,315.614,309.649,306.253,305.839,310.692,307.564,324.390,339.649,357.256,374.902,367.496,365.642,357.970,365.245,354.910,332.180,324.315,337.580,331.618,332.974,328.938,
ARM,Armenia,4.584,3.955,3.131,2.352,2.196,2.184,2.189,2.218,2.086,2.081,2.175,2.218,2.289,2.408,2.707,2.744,3.177,3.316,3.347,3.173,3.157,2.789,2.957,3.013,3.457,3.550,
ASM,American Samoa,0.025,0.025,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,
ATG,Antigua and Barbuda,0.099,0.102,0.103,0.103,0.108,0.109,0.109,0.110,0.117,0.129,0.127,0.132,0.131,0.137,0.140,0.141,0.124,0.126,0.127,0.131,0.111,0.111,0.146,0.139,0.136,0.141,
AUS,Australia,185.579,184.811,181.999,181.290,183.778,182.310,187.552,192.595,193.690,195.857,196.437,280.068,279.829,286.314,274.774,277.692,428.256,420.119,413.917,424.685,416.792,208.776,200.995,206.917,201.653,195.485,
AUT,Austria,22.774,22.979,22.439,22.319,22.067,22.048,22.361,22.772,22.813,22.724,23.078,22.347,22.987,23.521,23.059,22.920,22.599,22.609,22.606,21.793,22.416,22.202,21.728,21.772,21.646,21.537,
AZE,Azerbaijan,18.943,16.184,15.354,12.545,11.499,11.110,10.669,10.718,10.151,10.172,10.894,11.117,11.404,11.858,12.204,13.251,13.047,14.662,16.406,16.768,16.440,16.965,17.721,18.151,18.280,18.121,
BDI,Burundi,10.901,10.920,10.928,10.885,10.721,10.893,10.292,10.462,10.564,10.350,10.562,8.779,9.747,10.071,9.338,8.781,7.664,7.271,8.023,8.476,8.620,8.493,8.283,8.966,8.624,8.619,
BEL,Belgium,30.756,30.985,31.251,31.190,32.755,33.496,34.430,33.545,32.964,33.291,33.784,32.520,31.790,32.770,33.073,31.852,31.739,31.661,31.787,30.648,32.454,32.350,31.896,31.575,31.773,32.262,
BEN,Benin,17.635,17.760,17.838,17.880,18.162,17.942,18.896,18.935,19.681,19.678,19.565,14.906,15.099,15.167,15.381,15.535,15.772,15.984,16.105,16.361,16.472,16.604,16.838,17.057,17.054,17.285,
BFA,Burkina Faso,20.292,20.686,20.940,21.181,21.419,21.735,23.070,23.374,24.174,24.048,24.439,23.614,24.115,27.144,27.768,28.025,30.019,30.388,31.038,31.558,32.118,32.544,33.091,33.653,34.117,34.653,
BGD,Bangladesh,144.111,142.366,142.576,140.867,141.278,143.327,142.914,143.106,141.260,145.320,145.107,145.989,148.056,149.660,149.854,152.375,155.986,157.249,163.942,164.180,168.321,170.062,169.711,170.353,171.803,174.885,
BGR,Bulgaria,29.282,24.886,22.758,20.237,19.869,19.615,19.662,18.696,17.409,17.171,17.755,18.091,17.137,17.583,18.183,18.116,17.773,18.342,17.554,16.552,16.780,14.894,14.380,14.117,14.788,14.863,
BHR,Bahrain,1.596,1.534,1.719,1.889,1.929,2.031,2.009,2.156,2.141,2.270,2.247,2.273,2.369,2.312,2.381,2.771,3.003,3.063,3.263,3.326,3.327,3.411,3.478,3.849,4.017,4.036,
BHS,Bahamas,0.363,0.361,0.354,0.354,0.367,0.393,0.404,0.404,0.485,0.528,0.536,0.456,0.482,0.464,0.658,0.590,0.528,0.512,0.527,0.513,0.488,0.658,0.671,0.852,0.693,0.694,
BIH,Bosnia and Herzegovina,4.099,3.958,3.871,3.870,3.339,3.112,3.024,3.517,3.990,4.216,4.441,3.311,3.338,3.962,3.853,3.953,4.367,4.535,4.422,4.533,4.556,5.002,4.844,4.807,4.859,4.992,
BLR,Belarus,69.861,68.819,66.264,63.033,58.959,56.353,54.531,53.894,53.658,53.050,52.184,51.703,58.940,53.390,51.688,52.077,54.232,53.145,55.925,55.970,56.733,57.493,60.082,58.381,60.397,60.086,
BLZ,Belize,9.822,9.843,9.894,9.907,9.938,9.934,8.241,8.048,8.405,8.344,8.348,5.487,7.781,8.265,5.250,7.509,4.857,6.979,5.565,4.174,6.294,6.941,3.390,7.499,3.579,5.080,
BMU,Bermuda,0.045,0.044,0.040,0.041,0.041,0.041,0.044,0.044,0.052,0.063,0.060,0.056,0.058,0.058,0.064,0.060,0.057,0.070,0.056,0.065,0.067,0.066,0.100,0.066,0.067,0.074,
