country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.09,0.09,0.06,0.08,0.08,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.03,0.02,0.02,0.03,0.03,0.03,0.06,0.08,0.09,0.11,0.14,0.22,0.14,0.13,0.12,0.12,0.13,0.13
Albania,0.41,0.38,0.22,0.19,0.19,0.15,0.13,0.12,0.13,0.18,0.18,0.17,0.19,0.19,0.19,0.17,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.16,0.14,0.13,0.15,0.14,0.14
Algeria,0.31,0.33,0.36,0.37,0.36,0.36,0.34,0.33,0.31,0.32,0.31,0.30,0.30,0.30,0.29,0.29,0.30,0.29,0.30,0.30,0.30,0.31,0.33,0.33,0.35,0.36,0.34,0.33,0.35,0.37
Angola,0.17,0.17,0.19,0.25,0.23,0.23,0.24,0.24,0.23,0.24,0.22,0.20,0.18,0.19,0.17,0.13,0.12,0.11,0.11,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.15,0.13,0.12,0.12
Anguilla,0.03,0.05,0.04,0.04,0.06,0.07,0.07,0.06,0.05,0.04,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.06,0.08,0.08,0.09,0.10,0.10,0.10,0.11,0.10,0.12,0.12
Antigua and Barbuda,0.23,0.24,0.24,0.22,0.23,0.24,0.23,0.21,0.19,0.20,0.17,0.18,0.18,0.19,0.19,0.18,0.15,0.14,0.15,0.19,0.22,0.22,0.38,0.39,0.34,0.36,0.34,0.27,0.26,0.24
Argentina,0.23,0.22,0.21,0.20,0.20,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.20,0.20,0.20
Armenia,1.13,1.33,1.17,0.60,0.32,0.37,0.26,0.32,0.31,0.27,0.29,0.27,0.21,0.20,0.20,0.21,0.18,0.19,0.19,0.18,0.17,0.18,0.20,0.18,0.17,0.15,0.15,0.15,0.17,0.15
Aruba,0.13,0.15,0.14,0.14,0.12,0.14,0.10,0.14,0.13,0.14,0.12,0.13,0.14,0.13,0.14,0.12,0.12,0.11,0.11,0.13,0.14,0.13,0.23,0.28,0.26,0.25,0.24,0.19,0.20,0.19
Australia,0.52,0.53,0.53,0.52,0.51,0.50,0.50,0.50,0.51,0.49,0.48,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.41,0.40,0.39,0.37,0.35,0.35,0.35,0.34,0.34,0.34
Austria,0.22,0.22,0.20,0.20,0.20,0.20,0.21,0.20,0.20,0.19,0.18,0.19,0.19,0.20,0.20,0.20,0.19,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14
Azerbaijan,0.98,0.96,1.01,1.16,1.28,1.41,1.17,1.08,0.98,0.90,0.86,0.74,0.67,0.67,0.61,0.50,0.38,0.27,0.27,0.21,0.19,0.22,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.25
Bahamas,0.15,0.15,0.14,0.14,0.14,0.16,0.17,0.16,0.17,0.15,0.13,0.13,0.13,0.15,0.16,0.16,0.15,0.14,0.10,0.13,0.13,0.13,0.22,0.25,0.24,0.22,0.23,0.18,0.18,0.18
Bahrain,0.63,0.54,0.60,0.57,0.59,0.57,0.57,0.57,0.58,0.56,0.54,0.55,0.55,0.54,0.50,0.55,0.57,0.53,0.54,0.52,0.52,0.51,0.51,0.52,0.52,0.51,0.50,0.49,0.45,0.48
Bangladesh,0.09,0.08,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.14
Barbados,0.21,0.23,0.24,0.23,0.21,0.21,0.18,0.21,0.22,0.24,0.40,0.54,0.53,0.57,0.48,0.50,0.47,0.46,0.48,0.51,0.53,0.53,0.65,0.73,0.71,0.72,0.76,0.69,0.76,0.85
Belarus,1.20,1.17,1.17,1.10,1.06,1.06,1.04,0.94,0.85,0.79,0.72,0.67,0.64,0.60,0.57,0.53,0.50,0.45,0.43,0.41,0.41,0.37,0.37,0.37,0.36,0.35,0.36,0.36,0.37,0.37
Belgium,0.33,0.33,0.32,0.32,0.32,0.32,0.33,0.31,0.31,0.29,0.28,0.28,0.26,0.27,0.26,0.24,0.24,0.22,0.22,0.21,0.22,0.20,0.19,0.20,0.18,0.19,0.18,0.18,0.18,0.18
Belize,0.21,0.20,0.14,0.13,0.13,0.16,0.12,0.17,0.16,0.16,0.20,0.25,0.23,0.21,0.23,0.21,0.20,0.22,0.11,0.11,0.11,0.11,0.18,0.18,0.16,0.17,0.17,0.13,0.13,0.14
Benin,0.04,0.03,0.03,0.03,0.03,0.03,0.08,0.09,0.09,0.09,0.09,0.11,0.12,0.13,0.13,0.14,0.18,0.20,0.18,0.19,0.21,0.20,0.18,0.17,0.17,0.19,0.23,0.22,0.22,0.21
Bermuda,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.18,0.09,0.02,0.02,0.01,0.04,0.11,0.10,0.09,0.13,0.07,0.10,0.10,0.09,0.21,0.14,0.14,0.17,0.18,0.14,0.14,0.14
Bhutan,0.14,0.14,0.13,0.12,0.15,0.20,0.20,0.21,0.21,0.25,0.19,0.16,0.16,0.13,0.10,0.15,0.14,0.10,0.15,0.24,0.23,0.26,0.29,0.18,0.17,0.16,0.18,0.19,0.24,0.24
Bolivia,0.21,0.21,0.22,0.25,0.25,0.22,0.20,0.21,0.19,0.18,0.18,0.17,0.17,0.18,0.19,0.19,0.19,0.20,0.21,0.21,0.22,0.23,0.24,0.23,0.24,0.23,0.24,0.25,0.25,0.24
Bosnia and Herzegovina,3.02,3.17,2.53,2.16,0.51,0.45,0.30,0.43,0.47,0.43,0.53,0.50,0.50,0.49,0.49,0.47,0.50,0.50,0.52,0.53,0.54,0.61,0.57,0.55,0.55,0.55,0.60,0.60,0.58,0.68
Botswana,0.24,0.22,0.26,0.25,0.24,0.23,0.19,0.19,0.23,0.22,0.22,0.22,0.21,0.20,0.19,0.20,0.18,0.17,0.16,0.17,0.12,0.14,0.16,0.16,0.20,0.20,0.19,0.21,0.19,0.17
Brazil,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.15
British Virgin Islands,0.17,0.12,0.12,0.09,0.06,0.05,0.05,0.04,0.05,0.05,0.04,0.03,0.03,0.04,0.06,0.04,0.03,0.08,0.08,0.09,0.11,0.08,0.21,0.17,0.18,0.20,0.22,0.17,0.18,0.17
Brunei,0.18,0.20,0.20,0.20,0.21,0.22,0.22,0.25,0.22,0.21,0.21,0.21,0.20,0.23,0.21,0.20,0.29,0.27,0.31,0.31,0.28,0.27,0.27,0.27,0.27,0.25,0.28,0.29,0.28,0.26
Bulgaria,0.78,0.66,0.67,0.69,0.66,0.65,0.63,0.69,0.62,0.60,0.57,0.57,0.51,0.55,0.49,0.47,0.45,0.46,0.41,0.36,0.38,0.41,0.37,0.33,0.34,0.35,0.31,0.32,0.29,0.27
Burkina Faso,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.08,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.08,0.08,0.08
Burundi,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Cabo Verde,0.08,0.19,0.15,0.14,0.12,0.11,0.10,0.10,0.08,0.07,0.09,0.06,0.06,0.06,0.11,0.10,0.09,0.11,0.10,0.11,0.11,0.12,0.13,0.23,0.23,0.27,0.26,0.26,0.26,0.26
Cambodia,0.03,0.03,0.02,0.03,0.03,0.12,0.12,0.13,0.14,0.12,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.11,0.11,0.13,0.13,0.13,0.12,0.12,0.13,0.16,0.17,0.18,0.24,0.23
Cameroon,0.13,0.13,0.12,0.15,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.11,0.10,0.10,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11
Canada,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.50,0.49,0.49,0.47,0.46,0.46,0.44,0.43,0.40,0.40,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32
Cayman Islands,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.07,0.05,0.05,0.06,0.08,0.07,0.08,0.07,0.13,0.13,0.12,0.12,0.12,0.09,0.09,0.09
Central African Republic,0.05,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.11,0.11,0.12,0.12,0.11,0.11,0.11
Chad,0.04,0.05,0.04,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Chile,0.26,0.23,0.22,0.21,0.22,0.22,0.24,0.25,0.25,0.26,0.23,0.21,0.21,0.21,0.21,0.20,0.19,0.21,0.21,0.20,0.21,0.21,0.21,0.21,0.19,0.20,0.21,0.21,0.20,0.20
China,1.49,1.44,1.32,1.26,1.19,1.18,1.07,0.99,0.94,0.86,0.84,0.82,0.81,0.85,0.89,0.90,0.89,0.85,0.80,0.78,0.77,0.77,0.73,0.70,0.66,0.61,0.57,0.55,0.53,0.51
