country_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,1.48,1.48,1.53,1.49,1.91,1.71,1.63,1.89,1.64,1.76,1.75,2.05,1.99,2.67,2.68,3.39,3.17,2.81,2.70,2.57,2.58,2.49,1.72,1.58,1.28,1.14,1.17,1.15,1.17,1.12,1.10,0.99,0.86,0.68,0.78,1.08,1.16,1.20,2.71,4.25,5.64,6.92,9.70,16.34,10.37,9.85,9.48,9.99,10.40,11.00
Albania,4.72,4.72,5.37,4.79,5.16,5.24,5.60,5.99,6.82,7.92,8.06,7.06,7.27,7.78,8.42,8.06,8.14,8.29,8.19,7.89,6.65,4.44,2.42,2.28,2.39,2.11,2.10,1.63,1.95,3.12,3.26,3.47,4.03,4.23,4.44,4.20,4.16,4.27,4.22,4.32,4.60,5.00,4.55,4.79,5.32,4.98,4.82,5.47,5.45,5.66
Algeria,18.93,22.31,34.37,46.47,39.29,35.70,46.32,51.28,56.55,56.52,56.59,53.24,54.89,57.45,60.50,69.80,72.64,69.81,70.55,71.01,67.97,72.08,80.00,80.25,77.71,80.30,79.19,77.64,77.77,81.01,83.70,82.10,86.59,93.04,92.69,98.21,103.37,105.99,110.81,114.20,116.44,122.79,137.15,141.45,152.71,162.42,160.64,159.91,171.33,180.57
Angola,8.95,8.54,10.39,11.37,11.83,10.93,7.32,12.06,14.24,14.20,14.34,13.25,12.79,13.25,13.39,14.14,14.29,14.55,15.00,15.17,11.30,11.85,12.19,12.21,11.57,13.04,15.77,16.50,17.14,18.13,16.61,16.29,16.03,17.45,17.50,15.98,16.73,17.24,19.49,21.32,23.81,24.77,23.72,26.62,28.81,31.48,31.98,27.38,25.49,25.82
Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02
Antigua and Barbuda,0.12,0.12,0.14,0.15,0.13,0.16,0.14,0.16,0.16,0.15,0.15,0.13,0.18,0.10,0.14,0.16,0.17,0.22,0.23,0.22,0.22,0.24,0.24,0.23,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.27,0.28,0.28,0.27,0.28,0.29,0.34,0.36,0.35,0.62,0.64,0.57,0.62,0.63,0.51,0.52,0.51
Argentina,88.76,89.21,90.37,94.50,94.35,92.27,97.16,100.63,101.87,107.19,104.72,102.37,100.51,102.56,100.67,95.10,106.41,111.22,116.53,114.16,108.12,112.45,116.01,115.30,124.17,128.13,135.93,143.41,147.46,152.49,150.84,141.28,133.42,146.52,162.85,165.76,176.55,184.29,196.22,186.17,191.57,199.73,205.58,202.04,209.98,212.87,212.61,206.06,204.92,199.41
Armenia,10.92,10.94,11.75,12.81,13.86,15.24,15.75,16.34,16.95,17.61,18.72,19.12,19.64,19.73,19.82,20.06,20.20,20.45,20.46,20.10,20.70,21.56,11.00,5.18,2.88,3.62,2.68,3.43,3.56,3.20,3.66,3.73,3.20,3.57,3.83,4.54,4.58,5.29,5.79,4.66,4.46,5.09,5.87,5.56,5.53,5.01,5.07,5.41,6.20,5.92
Aruba,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.23,0.26,0.30,0.36,0.36,0.38,0.37,0.44,0.30,0.46,0.45,0.48,0.45,0.48,0.48,0.48,0.53,0.47,0.49,0.44,0.45,0.47,0.50,0.46,0.80,1.02,0.96,0.96,0.97,0.78,0.80,0.78
Australia,160.99,162.30,168.19,177.85,187.06,193.92,196.71,209.93,206.46,212.23,222.45,223.37,229.67,218.03,223.78,238.28,238.71,249.77,258.67,274.33,277.61,279.61,282.88,286.96,292.64,302.71,313.41,322.39,343.25,348.47,354.23,360.82,368.93,372.93,387.10,392.06,398.39,408.83,411.99,417.44,413.28,410.90,410.49,406.10,396.94,404.02,411.86,414.46,416.05,433.38
Austria,53.98,56.23,58.56,61.84,59.45,57.15,62.34,59.66,61.77,64.22,62.31,59.05,56.91,56.94,58.78,60.17,58.96,59.60,58.19,58.20,62.93,66.65,61.50,61.59,62.18,65.28,69.15,68.82,69.38,67.46,68.11,72.84,74.24,79.30,80.41,81.01,78.84,76.56,76.62,70.01,75.33,73.48,70.77,71.00,67.50,69.04,68.86,71.72,70.45,72.36
Azerbaijan,32.28,32.31,34.77,37.76,40.69,45.15,47.21,49.48,51.89,54.32,57.53,59.42,60.84,62.75,64.43,65.59,68.34,70.80,71.82,72.15,54.63,53.19,43.30,38.10,33.86,32.84,27.53,26.80,26.81,26.49,28.07,26.72,26.48,28.96,28.69,30.49,30.91,28.09,31.03,25.94,24.75,28.00,30.81,31.75,33.10,32.79,33.30,32.65,33.72,35.98
