# File: enduse_sector_aggregation.csv,,
# Title: Mapping from first intermediate sector to aggregated intermediate sector,,
# Units: None,,
# Column types: cc ,,
# joh 2021-0-12 add missing sector items from the gcam_energy_balance.xlsx (original is upto in_heat),,
sector,sector_agg,sector_agg2
TPES,TPES,
in_electricity generation,electricity plant,
out_electricity generation,electricity generation,electricity
in_bld_comm,comm,building
in_bld_resid,resid,building
in_industry_agriculture,industry,industry
in_industry_chp,industry,industry
in_industry_ctl,industry,industry
in_industry_energy distribution,industry,industry
in_industry_feedstocks,industry_feedstocks,industry
in_industry_general,industry,industry
in_industry_gtl,industry,industry
in_industry_ownuse,industry,industry
in_industry_pipeline,industry,industry
in_trn_domestic air,domestic air,transport
in_trn_domestic ship,domestic ship,transport
in_trn_international air,international air,transport
in_trn_international ship,international ship,transport
in_trn_rail,trn_rail,transport
in_trn_road,trn_road,transport
in_trn_unspecified,trn_unspecified,transport
net_industry_energy transformation,industry,industry
net_industry_oil refining,industry,industry
in_heat,heat,
net_electricity distribution,electricity distribution,
net_electricity ownuse,electricity ownuse,
net_gas pipeline,gas pipeline,
net_oil refining,oil refining,
out_resources,resources,
out_electricity_heat,electricity_heat,
in_gas processing,gas processing,
out_chp_elec,chp_elec,
out_ctl,ctl,
out_gtl,gtl,
