iso,country_name,region_GCAM3,GCAM_region_ID
asm,American Samoa,Southeast Asia,29
and,Andorra,Western Europe,13
aia,Anguilla,Latin America,9
atg,Antigua & Barbuda,Latin America,9
abw,Aruba,Latin America,9
bhr,Bahrain,Middle East,21
brb,Barbados,Latin America,9
bmu,Bermuda,Western Europe,9
cpv,Cape Verde,Africa,5
cym,Cayman Islands,Latin America,9
chi,Channel Islands,Western Europe,13
cxr,Christmas Island,Southeast Asia,29
cck,Cocos (Keeling) Islands,Southeast Asia,29
com,Comoros,Africa,2
cok,Cook Islands,Australia_NZ,29
dma,Dominica,Latin America,9
fro,Faroe Islands,Western Europe,13
guf,French Guiana,Latin America,25
pyf,French Polynesia,Southeast Asia,29
gib,Gibraltar,Western Europe,13
grd,Grenada,Latin America,9
glp,Guadeloupe,Latin America,9
gum,Guam,Southeast Asia,29
hkg,Hong Kong,Southeast Asia,11
imn,Isle of Man,Western Europe,13
kir,Kiribati,Southeast Asia,29
lie,Liechtenstein,Western Europe,16
mac,Macau,Southeast Asia,11
mdv,Maldives,Southeast Asia,27
mlt,Malta,Western Europe,12
mhl,Marshall Islands,Southeast Asia,29
mtq,Martinique,Western Europe,9
mus,Mauritius,Africa,2
myt,Mayotte,Africa,29
fsm,"Micronesia, Federated States of",Southeast Asia,29
mco,Monaco,Western Europe,13
msr,Montserrat,Latin America,9
nru,Nauru,Southeast Asia,29
ant,Netherlands Antilles,Latin America,9
niu,Niue,Australia_NZ,29
nfk,Norfolk Island,Australia_NZ,29
mnp,Northern Mariana Islands,Southeast Asia,29
pci,Pacific Islands Trust Territory,Southeast Asia,29
plw,Palau,Southeast Asia,29
pcn,Pitcairn Islands,Southeast Asia,29
reu,Reunion,Africa,2
shn,Saint Helena,Africa,13
kna,Saint Kitts and Nevis,Latin America,9
lca,Saint Lucia,Latin America,9
spm,Saint Pierre and Miquelon,Canada,13
vct,Saint Vincent and the Grenadines,Latin America,9
wsm,Samoa,Southeast Asia,29
smr,San Marino,Western Europe,13
stp,Sao Tome and Principe,Africa,5
scg,Serbia and Montenegro,Eastern Europe,15
syc,Seychelles,Africa,29
sgp,Singapore,Southeast Asia,29
sjm,Svalbard and Jan Mayen Islands,Western Europe,16
tkl,Tokelau,Australia_NZ,29
ton,Tonga,Southeast Asia,29
tca,Turks and Caicos,Latin America,13
tuv,Tuvalu,Southeast Asia,29
vat,Vatican,Western Europe,13
vgb,"Virgin Islands, British",Latin America,13
vir,"Virgin Islands, U.S.",Latin America,1
wlf,Wallis and Futuna,Australia_NZ,13
yug,"Yugoslavia, Federal Republic of",Eastern Europe,15
