# File: iso_GCAM_regID.csv,,,,,,
# Title: ISO to GCAM region mapping,,,,,,
# Units: NA,,,,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,,,,
# Column types: ccci ,,,,,,
# ----------,,,,,,
iso,country_name,region_GCAM3,GCAM_region_ID,IPCC_five_region_ID,timezone,Edgar_country_name 
afg,Afghanistan,Southeast Asia,27,3,4.5,
alb,Albania,Eastern Europe,15,1,2,
dza,Algeria,Africa,3,4,1,
asm,American Samoa,Southeast Asia,29,0,-11,
and,Andorra,Western Europe,13,0,2,
ago,Angola,Africa,4,4,1,
aia,Anguilla,Latin America,9,0,-4,
atg,Antigua & Barbuda,Latin America,9,0,-4,Antigua and Barbuda
arg,Argentina,Latin America,31,5,-3,
arm,Armenia,Former Soviet Union,10,2,4,
abw,Aruba,Latin America,9,5,-4,
aus,Australia,Australia_NZ,6,1,10,
aut,Austria,Western Europe,13,1,1,
aze,Azerbaijan,Former Soviet Union,10,2,4,
bhs,Bahamas,Latin America,9,5,-5,
bhr,Bahrain,Middle East,21,4,3,
bgd,Bangladesh,Southeast Asia,27,3,6,
brb,Barbados,Latin America,9,5,-4,
blr,Belarus,Former Soviet Union,14,2,3,
bel,Belgium,Western Europe,13,1,1,
blz,Belize,Latin America,9,5,-6,
ben,Benin,Africa,5,4,1,
bmu,Bermuda,Western Europe,9,0,-3,
btn,Bhutan,Southeast Asia,27,3,6,
bol,Bolivia,Latin America,26,5,-4,
bih,Bosnia and Herzegovina,Eastern Europe,15,1,1,
bwa,Botswana,Africa,4,4,2,
bra,Brazil,Latin America,7,5,-3,
brn,Brunei Darussalam,Southeast Asia,29,3,8,Brunei
bgr,Bulgaria,Eastern Europe,12,1,2,
bfa,Burkina Faso,Africa,5,4,0,
bdi,Burundi,Africa,2,4,2,
khm,Cambodia,China,29,3,7,
cmr,Cameroon,Africa,5,4,1,
can,Canada,Canada,8,1,-4,
cpv,Cape Verde,Africa,5,4,-1,
cym,Cayman Islands,Latin America,9,0,,
caf,Central African Republic,Africa,5,4,,
tcd,Chad,Africa,5,4,,
chi,Channel Islands,Western Europe,13,0,,
chl,Chile,Latin America,26,5,,
chn,China,China,11,3,,
cxr,Christmas Island,Southeast Asia,29,0,,
cck,Cocos (Keeling) Islands,Southeast Asia,29,0,,
col,Colombia,Latin America,32,5,-5,
com,Comoros,Africa,2,4,,
cog,Congo,Africa,5,4,,
cod,"Congo, the Democratic Republic of the",Africa,5,4,,Democratic Republic of the Congo
cok,Cook Islands,Australia_NZ,29,0,,
cri,Costa Rica,Latin America,9,5,,
civ,Cote dIvoire,Africa,5,4,,
hrv,Croatia,Eastern Europe,15,1,,
cub,Cuba,Latin America,9,5,,
cyp,Cyprus,Western Europe,12,1,,
cze,Czech Republic,Eastern Europe,12,1,,
dnk,Denmark,Western Europe,13,1,,
dji,Djibouti,Africa,2,4,,
dma,Dominica,Latin America,9,0,,
dom,Dominican Republic,Latin America,9,5,,
ecu,Ecuador,Latin America,26,5,-5,
egy,Egypt,Africa,3,4,,
slv,El Salvador,Latin America,9,5,,
gnq,Equatorial Guinea,Africa,5,4,,
eri,Eritrea,Africa,2,4,,
est,Estonia,Former Soviet Union,12,1,,
eth,Ethiopia,Africa,2,4,3,
flk,Falkland Islands (Malvinas),Latin America,13,0,,Falkland Islands
fro,Faroe Islands,Western Europe,13,0,,
fji,Fiji,Southeast Asia,29,3,12,
fin,Finland,Western Europe,13,1,,
fra,France,Western Europe,13,1,,France and Monaco
guf,French Guiana,Latin America,25,5,,
pyf,French Polynesia,Southeast Asia,29,3,,
gab,Gabon,Africa,5,4,,
gmb,Gambia,Africa,5,4,,The Gambia
geo,Georgia,Former Soviet Union,10,2,,
deu,Germany,Western Europe,13,1,,
gha,Ghana,Africa,5,4,,
gib,Gibraltar,Western Europe,13,0,,
grc,Greece,Western Europe,13,1,,
grl,Greenland,Western Europe,13,0,,
grd,Grenada,Latin America,9,5,,
glp,Guadeloupe,Latin America,9,5,,
gum,Guam,Southeast Asia,29,1,,
gtm,Guatemala,Latin America,9,5,,
gin,Guinea,Africa,5,4,,
gnb,Guinea-Bissau,Africa,5,4,,
guy,Guyana,Latin America,25,5,,
hti,Haiti,Latin America,9,5,,
hnd,Honduras,Latin America,9,5,,
hkg,Hong Kong,Southeast Asia,11,3,,
hun,Hungary,Eastern Europe,12,1,,
isl,Iceland,Western Europe,16,1,,
ind,India,India,17,3,,
idn,Indonesia,Southeast Asia,18,3,,
irn,"Iran, Islamic Republic of",Middle East,21,4,,Iran
irq,Iraq,Middle East,21,4,,
irl,Ireland,Western Europe,13,1,,
imn,Isle of Man,Western Europe,13,0,,
isr,Israel,Middle East,21,4,,"Israel and Palestine, State of"
ita,Italy,Western Europe,13,1,,"Italy, San Marino and the Holy See"
jam,Jamaica,Latin America,9,5,,
jpn,Japan,Japan,19,1,,
jor,Jordan,Middle East,21,4,,
kaz,Kazakhstan,Former Soviet Union,10,2,,
ken,Kenya,Africa,2,4,3,
kir,Kiribati,Southeast Asia,29,0,,
prk,"Korea, Democratic Peoples Republic of",China,29,3,9,North Korea
kor,"Korea, Republic of",Korea,28,3,9,South Korea
kwt,Kuwait,Middle East,21,4,,
kgz,Kyrgyzstan,Former Soviet Union,10,2,6,
lao,Lao Peoples Democratic Republic,Southeast Asia,29,3,,Laos
lva,Latvia,Former Soviet Union,12,1,,
lbn,Lebanon,Middle East,21,4,,
lso,Lesotho,Africa,4,4,,
